_id,first_name,roll_num,email,class,section
55,Connor,56,connor@school.com,7,A
56,Landon,57,landon@school.com,8,B
57,Adrian,58,adrian@school.com,10,B
58,Asher,59,asher@school.com,8,A
59,Cameron,60,cameron@school.com,7,B
60,Leo,61,leo@school.com,8,A
61,Theodore,62,theodore@school.com,7,A
62,Jeremiah,63,jeremiah@school.com,11,A
63,Hudson,64,hudson@school.com,8,B
64,Robert,65,robert@school.com,12,B
65,Easton,66,easton@school.com,12,A
66,Nolan,67,nolan@school.com,8,A
67,Nicholas,68,nicholas@school.com,11,A
68,Ezra,69,ezra@school.com,10,A
69,Colton,70,colton@school.com,11,A
70,Angel,71,angel@school.com,10,B
71,Brayden,72,brayden@school.com,10,B
72,Jordan,73,jordan@school.com,12,B
73,Dominic,74,dominic@school.com,7,B
74,Austin,75,austin@school.com,7,A
75,Ian,76,ian@school.com,8,A
76,Adam,77,adam@school.com,12,A
77,Elias,78,elias@school.com,7,B
78,Jaxson,79,jaxson@school.com,8,B
79,Greyson,80,greyson@school.com,11,B
80,Jose,81,jose@school.com,7,A
81,Ezekiel,82,ezekiel@school.com,7,B
82,Carson,83,carson@school.com,7,A
83,Evan,84,evan@school.com,9,A
84,Maverick,85,maverick@school.com,9,B
85,Bryson,86,bryson@school.com,7,A
86,Jace,87,jace@school.com,7,A
87,Cooper,88,cooper@school.com,10,B
88,Xavier,89,xavier@school.com,10,A
89,Parker,90,parker@school.com,8,B
90,Roman,91,roman@school.com,10,B
91,Jason,92,jason@school.com,9,B
92,Santiago,93,santiago@school.com,11,B
93,Chase,94,chase@school.com,9,A
94,Sawyer,95,sawyer@school.com,10,A
95,Gavin,96,gavin@school.com,8,B
96,Leonardo,97,leonardo@school.com,9,A
97,Kayden,98,kayden@school.com,11,A
98,Ayden,99,ayden@school.com,7,A
99,Jameson,100,jameson@school.com,11,B
100,Kevin,101,kevin@school.com,12,B
101,Bentley,102,bentley@school.com,7,B
102,Zachary,103,zachary@school.com,11,A
103,Everett,104,everett@school.com,9,B
104,Axel,105,axel@school.com,7,A
105,Tyler,106,tyler@school.com,10,B
106,Micah,107,micah@school.com,8,B
107,Vincent,108,vincent@school.com,11,B
108,Weston,109,weston@school.com,12,A
109,Miles,110,miles@school.com,11,B
110,Wesley,111,wesley@school.com,12,B
111,Nathaniel,112,nathaniel@school.com,10,A
112,Harrison,113,harrison@school.com,8,B
113,Brandon,114,brandon@school.com,12,B
114,Cole,115,cole@school.com,8,A
115,Declan,116,declan@school.com,11,A
116,Luis,117,luis@school.com,7,A
117,Braxton,118,braxton@school.com,9,A
118,Damian,119,damian@school.com,11,A
119,Silas,120,silas@school.com,7,B
120,Tristan,121,tristan@school.com,8,A
121,Ryder,122,ryder@school.com,8,A
122,Bennett,123,bennett@school.com,7,B
123,George,124,george@school.com,8,B
124,Emmett,125,emmett@school.com,7,B
125,Justin,126,justin@school.com,7,A
126,Kai,127,kai@school.com,7,A
127,Max,128,max@school.com,12,B
128,Diego,129,diego@school.com,10,A
129,Luca,130,luca@school.com,8,A
130,Ryker,131,ryker@school.com,7,B
131,Carlos,132,carlos@school.com,12,A
132,Maxwell,133,maxwell@school.com,9,A
133,Kingston,134,kingston@school.com,12,B
134,Ivan,135,ivan@school.com,7,A
135,Maddox,136,maddox@school.com,9,B
136,Juan,137,juan@school.com,10,A
137,Ashton,138,ashton@school.com,9,A
138,Jayce,139,jayce@school.com,10,B
139,Rowan,140,rowan@school.com,10,B
140,Kaiden,141,kaiden@school.com,12,A
141,Giovanni,142,giovanni@school.com,7,B
142,Eric,143,eric@school.com,9,B
143,Jesus,144,jesus@school.com,12,A
144,Calvin,145,calvin@school.com,7,A
145,Abel,146,abel@school.com,9,A
146,King,147,king@school.com,9,B
147,Camden,148,camden@school.com,9,A
148,Amir,149,amir@school.com,12,A
149,Blake,150,blake@school.com,11,B
